Survived,Age,SibSp,Parch,Fare,Sex_0,Embarked_0,Embarked_1,Pclass_1,Pclass_2
1.0,38.0,1.0,5.0,31.3875,0.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,7.225,1.0,1.0,0.0,0.0,0.0
0.0,19.0,3.0,2.0,263.0,1.0,0.0,0.0,1.0,0.0
1.0,29.699118,0.0,0.0,7.8792,0.0,0.0,1.0,0.0,0.0
0.0,29.699118,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
0.0,40.0,0.0,0.0,27.7208,1.0,1.0,0.0,1.0,0.0
1.0,29.699118,1.0,0.0,146.5208,0.0,1.0,0.0,1.0,0.0
1.0,29.699118,0.0,0.0,7.75,0.0,0.0,1.0,0.0,0.0
0.0,66.0,0.0,0.0,10.5,1.0,0.0,0.0,0.0,1.0
0.0,28.0,1.0,0.0,82.1708,1.0,1.0,0.0,1.0,0.0
0.0,42.0,1.0,0.0,52.0,1.0,0.0,0.0,1.0,0.0
1.0,29.699118,0.0,0.0,7.2292,1.0,1.0,0.0,0.0,0.0
0.0,21.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,18.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,1.0,0.0,11.2417,0.0,1.0,0.0,0.0,0.0
0.0,40.0,1.0,0.0,9.475,0.0,0.0,0.0,0.0,0.0
0.0,27.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0
0.0,29.699118,0.0,0.0,7.8958,1.0,1.0,0.0,0.0,0.0
1.0,3.0,1.0,2.0,41.5792,0.0,1.0,0.0,0.0,1.0
1.0,19.0,0.0,0.0,7.8792,0.0,0.0,1.0,0.0,0.0
0.0,29.699118,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,1.0,0.0,15.5,1.0,0.0,1.0,0.0,0.0
1.0,29.699118,0.0,0.0,7.75,0.0,0.0,1.0,0.0,0.0
0.0,29.699118,2.0,0.0,21.6792,1.0,1.0,0.0,0.0,0.0
0.0,18.0,1.0,0.0,17.8,0.0,0.0,0.0,0.0,0.0
0.0,7.0,4.0,1.0,39.6875,1.0,0.0,0.0,0.0,0.0
0.0,21.0,0.0,0.0,7.8,1.0,0.0,0.0,0.0,0.0
1.0,49.0,1.0,0.0,76.7292,0.0,1.0,0.0,1.0,0.0
1.0,29.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0
0.0,65.0,0.0,1.0,61.9792,1.0,1.0,0.0,1.0,0.0
1.0,29.699118,0.0,0.0,35.5,1.0,0.0,0.0,1.0,0.0
1.0,21.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,1.0
0.0,28.5,0.0,0.0,7.2292,1.0,1.0,0.0,0.0,0.0
1.0,5.0,1.0,2.0,27.75,0.0,0.0,0.0,0.0,1.0
0.0,11.0,5.0,2.0,46.9,1.0,0.0,0.0,0.0,0.0
0.0,22.0,0.0,0.0,7.2292,1.0,1.0,0.0,0.0,0.0
1.0,38.0,0.0,0.0,80.0,0.0,0.0,0.0,1.0,0.0
0.0,45.0,1.0,0.0,83.475,1.0,0.0,0.0,1.0,0.0
0.0,4.0,3.0,2.0,27.9,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,27.7208,1.0,1.0,0.0,1.0,0.0
1.0,29.699118,1.0,1.0,15.2458,1.0,1.0,0.0,0.0,0.0
1.0,29.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,1.0
0.0,19.0,0.0,0.0,8.1583,1.0,0.0,0.0,0.0,0.0
1.0,17.0,4.0,2.0,7.925,0.0,0.0,0.0,0.0,0.0
0.0,26.0,2.0,0.0,8.6625,1.0,0.0,0.0,0.0,0.0
0.0,32.0,0.0,0.0,10.5,1.0,0.0,0.0,0.0,1.0
0.0,16.0,5.0,2.0,46.9,0.0,0.0,0.0,0.0,0.0
0.0,21.0,0.0,0.0,73.5,1.0,0.0,0.0,0.0,1.0
0.0,26.0,1.0,0.0,14.4542,1.0,1.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,56.4958,1.0,0.0,0.0,0.0,0.0
0.0,25.0,0.0,0.0,7.65,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
1.0,0.83,0.0,2.0,29.0,1.0,0.0,0.0,0.0,1.0
1.0,30.0,0.0,0.0,12.475,0.0,0.0,0.0,0.0,0.0
0.0,22.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0
1.0,29.0,0.0,0.0,9.5,1.0,0.0,0.0,0.0,0.0
1.0,29.699118,0.0,0.0,7.7875,0.0,0.0,1.0,0.0,0.0
0.0,28.0,0.0,0.0,47.1,1.0,0.0,0.0,1.0,0.0
1.0,17.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,1.0
1.0,33.0,3.0,0.0,15.85,0.0,0.0,0.0,0.0,0.0
0.0,16.0,1.0,3.0,34.375,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
1.0,23.0,3.0,2.0,263.0,0.0,0.0,0.0,1.0,0.0
0.0,24.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,29.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,7.8542,1.0,0.0,0.0,0.0,0.0
0.0,46.0,1.0,0.0,61.175,1.0,0.0,0.0,1.0,0.0
0.0,26.0,1.0,2.0,20.575,1.0,0.0,0.0,0.0,0.0
0.0,59.0,0.0,0.0,7.25,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,71.0,0.0,0.0,34.6542,1.0,1.0,0.0,1.0,0.0
1.0,23.0,0.0,1.0,63.3583,1.0,1.0,0.0,1.0,0.0
1.0,34.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,1.0
0.0,34.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0
0.0,28.0,0.0,0.0,7.8958,0.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
0.0,21.0,0.0,1.0,77.2875,1.0,0.0,0.0,1.0,0.0
0.0,33.0,0.0,0.0,8.6542,1.0,0.0,0.0,0.0,0.0
0.0,37.0,2.0,0.0,7.925,1.0,0.0,0.0,0.0,0.0
0.0,28.0,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
1.0,21.0,0.0,0.0,7.65,0.0,0.0,0.0,0.0,0.0
1.0,29.699118,0.0,0.0,7.775,1.0,0.0,0.0,0.0,0.0
0.0,38.0,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
1.0,29.699118,1.0,0.0,24.15,0.0,0.0,1.0,0.0,0.0
0.0,47.0,0.0,0.0,52.0,1.0,0.0,0.0,1.0,0.0
0.0,14.5,1.0,0.0,14.4542,0.0,1.0,0.0,0.0,0.0
0.0,22.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,20.0,1.0,0.0,9.825,0.0,0.0,0.0,0.0,0.0
0.0,17.0,0.0,0.0,14.4583,0.0,1.0,0.0,0.0,0.0
0.0,21.0,0.0,0.0,7.925,1.0,0.0,0.0,0.0,0.0
0.0,70.5,0.0,0.0,7.75,1.0,0.0,1.0,0.0,0.0
0.0,29.0,1.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0
0.0,24.0,0.0,1.0,247.5208,1.0,1.0,0.0,1.0,0.0
0.0,2.0,4.0,2.0,31.275,0.0,0.0,0.0,0.0,0.0
0.0,21.0,2.0,0.0,73.5,1.0,0.0,0.0,0.0,1.0
0.0,29.699118,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,32.5,1.0,0.0,30.0708,1.0,1.0,0.0,0.0,1.0
1.0,32.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
0.0,54.0,0.0,1.0,77.2875,1.0,0.0,0.0,1.0,0.0
1.0,12.0,1.0,0.0,11.2417,1.0,1.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,7.75,1.0,0.0,1.0,0.0,0.0
1.0,24.0,0.0,0.0,7.1417,1.0,0.0,0.0,0.0,0.0
1.0,29.699118,1.0,1.0,22.3583,0.0,1.0,0.0,0.0,0.0
0.0,45.0,0.0,0.0,6.975,1.0,0.0,0.0,0.0,0.0
0.0,33.0,0.0,0.0,7.8958,1.0,1.0,0.0,0.0,0.0
0.0,20.0,0.0,0.0,7.05,1.0,0.0,0.0,0.0,0.0
0.0,47.0,1.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0
1.0,29.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0
0.0,25.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
0.0,23.0,0.0,0.0,15.0458,1.0,1.0,0.0,0.0,1.0
1.0,19.0,0.0,2.0,26.2833,0.0,0.0,0.0,1.0,0.0
0.0,37.0,1.0,0.0,53.1,1.0,0.0,0.0,1.0,0.0
0.0,16.0,0.0,0.0,9.2167,1.0,0.0,0.0,0.0,0.0
0.0,24.0,0.0,0.0,79.2,1.0,1.0,0.0,1.0,0.0
0.0,29.699118,0.0,2.0,15.2458,0.0,1.0,0.0,0.0,0.0
1.0,22.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0
1.0,24.0,1.0,0.0,15.85,0.0,0.0,0.0,0.0,0.0
0.0,19.0,0.0,0.0,6.75,1.0,0.0,1.0,0.0,0.0
0.0,18.0,0.0,0.0,11.5,1.0,0.0,0.0,0.0,1.0
0.0,19.0,1.0,1.0,36.75,1.0,0.0,0.0,0.0,1.0
1.0,27.0,0.0,0.0,7.7958,1.0,0.0,0.0,0.0,0.0
0.0,9.0,2.0,2.0,34.375,0.0,0.0,0.0,0.0,0.0
0.0,36.5,0.0,2.0,26.0,1.0,0.0,0.0,0.0,1.0
0.0,42.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
0.0,51.0,0.0,0.0,12.525,1.0,0.0,0.0,0.0,1.0
1.0,22.0,1.0,0.0,66.6,0.0,0.0,0.0,1.0,0.0
0.0,55.5,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,40.5,0.0,2.0,14.5,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,7.3125,1.0,0.0,0.0,0.0,0.0
0.0,51.0,0.0,1.0,61.3792,1.0,1.0,0.0,1.0,0.0
1.0,16.0,0.0,0.0,7.7333,0.0,0.0,1.0,0.0,0.0
0.0,30.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,8.6625,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,8.0,2.0,69.55,1.0,0.0,0.0,0.0,0.0
0.0,44.0,0.0,1.0,16.1,1.0,0.0,0.0,0.0,0.0
1.0,40.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,1.0
0.0,26.0,0.0,0.0,7.775,1.0,0.0,0.0,0.0,0.0
0.0,17.0,0.0,0.0,8.6625,1.0,0.0,0.0,0.0,0.0
0.0,1.0,4.0,1.0,39.6875,1.0,0.0,0.0,0.0,0.0
1.0,9.0,0.0,2.0,20.525,1.0,0.0,0.0,0.0,0.0
1.0,29.699118,0.0,1.0,55.0,0.0,0.0,0.0,1.0,0.0
0.0,45.0,1.0,4.0,27.9,0.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,25.925,1.0,0.0,0.0,1.0,0.0
0.0,28.0,0.0,0.0,56.4958,1.0,0.0,0.0,0.0,0.0
0.0,61.0,0.0,0.0,33.5,1.0,0.0,0.0,1.0,0.0
0.0,4.0,4.0,1.0,29.125,1.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,11.1333,0.0,0.0,0.0,0.0,0.0
0.0,21.0,0.0,0.0,7.925,1.0,0.0,0.0,0.0,0.0
0.0,56.0,0.0,0.0,30.6958,1.0,1.0,0.0,1.0,0.0
0.0,18.0,1.0,1.0,7.8542,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,3.0,1.0,25.4667,1.0,0.0,0.0,0.0,0.0
0.0,50.0,0.0,0.0,28.7125,0.0,1.0,0.0,1.0,0.0
0.0,30.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,8.0,2.0,69.55,0.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,15.05,1.0,1.0,0.0,0.0,1.0
0.0,9.0,4.0,2.0,31.3875,1.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,1.0,39.0,1.0,0.0,0.0,0.0,1.0
1.0,4.0,0.0,2.0,22.025,0.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,50.0,1.0,0.0,0.0,1.0,0.0
1.0,29.699118,1.0,0.0,15.5,0.0,0.0,1.0,0.0,0.0
1.0,45.0,0.0,0.0,26.55,1.0,0.0,0.0,1.0,0.0
0.0,40.0,1.0,1.0,15.5,1.0,0.0,1.0,0.0,0.0
0.0,36.0,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
1.0,32.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
0.0,19.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
1.0,19.0,1.0,0.0,7.8542,0.0,0.0,0.0,0.0,0.0
1.0,3.0,1.0,1.0,26.0,1.0,0.0,0.0,0.0,1.0
1.0,44.0,0.0,0.0,27.7208,0.0,1.0,0.0,1.0,0.0
1.0,58.0,0.0,0.0,146.5208,0.0,1.0,0.0,1.0,0.0
0.0,29.699118,0.0,0.0,7.75,1.0,0.0,1.0,0.0,0.0
0.0,42.0,0.0,1.0,8.4042,1.0,0.0,0.0,0.0,0.0
1.0,29.699118,0.0,0.0,7.75,0.0,0.0,1.0,0.0,0.0
0.0,24.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
0.0,28.0,0.0,0.0,9.5,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,8.0,2.0,69.55,1.0,0.0,0.0,0.0,0.0
0.0,34.0,0.0,0.0,6.4958,1.0,0.0,0.0,0.0,0.0
0.0,45.5,0.0,0.0,7.225,1.0,1.0,0.0,0.0,0.0
1.0,18.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,1.0,10.4625,0.0,0.0,0.0,0.0,0.0
0.0,32.0,1.0,0.0,15.85,1.0,0.0,0.0,0.0,0.0
1.0,26.0,0.0,0.0,18.7875,1.0,1.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,7.75,0.0,0.0,1.0,0.0,0.0
1.0,40.0,0.0,0.0,31.0,1.0,1.0,0.0,1.0,0.0
0.0,24.0,0.0,0.0,7.05,1.0,0.0,0.0,0.0,0.0
1.0,35.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0
0.0,22.0,0.0,0.0,7.25,1.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
0.0,29.699118,1.0,0.0,7.75,1.0,0.0,1.0,0.0,0.0
1.0,31.0,1.0,0.0,113.275,0.0,1.0,0.0,1.0,0.0
1.0,27.0,0.0,0.0,7.925,0.0,0.0,0.0,0.0,0.0
0.0,42.0,1.0,0.0,27.0,1.0,0.0,0.0,0.0,1.0
1.0,32.0,0.0,0.0,76.2917,0.0,1.0,0.0,1.0,0.0
0.0,30.0,0.0,0.0,10.5,1.0,0.0,0.0,0.0,1.0
1.0,16.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,27.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
0.0,51.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
1.0,38.0,1.0,0.0,90.0,1.0,0.0,0.0,1.0,0.0
0.0,22.0,0.0,0.0,9.35,1.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,10.5,1.0,0.0,0.0,0.0,1.0
0.0,20.5,0.0,0.0,7.25,1.0,0.0,0.0,0.0,0.0
0.0,18.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
0.0,29.699118,3.0,1.0,25.4667,0.0,0.0,0.0,0.0,0.0
1.0,35.0,1.0,0.0,83.475,0.0,0.0,0.0,1.0,0.0
0.0,29.0,0.0,0.0,7.775,1.0,0.0,0.0,0.0,0.0
0.0,59.0,0.0,0.0,13.5,1.0,0.0,0.0,0.0,1.0
1.0,5.0,4.0,2.0,31.3875,0.0,0.0,0.0,0.0,0.0
0.0,24.0,0.0,0.0,10.5,1.0,0.0,0.0,0.0,1.0
0.0,29.699118,0.0,0.0,7.55,0.0,0.0,0.0,0.0,0.0
0.0,44.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0
1.0,8.0,0.0,2.0,26.25,0.0,0.0,0.0,0.0,1.0
0.0,19.0,0.0,0.0,10.5,1.0,0.0,0.0,0.0,1.0
0.0,33.0,0.0,0.0,12.275,1.0,0.0,0.0,0.0,1.0
0.0,29.699118,1.0,0.0,14.4542,0.0,1.0,0.0,0.0,0.0
1.0,29.699118,1.0,0.0,15.5,0.0,0.0,1.0,0.0,0.0
0.0,29.0,0.0,0.0,10.5,1.0,0.0,0.0,0.0,1.0
0.0,22.0,0.0,0.0,7.125,1.0,0.0,0.0,0.0,0.0
0.0,30.0,0.0,0.0,7.225,1.0,1.0,0.0,0.0,0.0
0.0,44.0,2.0,0.0,90.0,1.0,0.0,1.0,1.0,0.0
0.0,25.0,0.0,0.0,7.775,0.0,0.0,0.0,0.0,0.0
1.0,24.0,0.0,2.0,14.5,0.0,0.0,0.0,0.0,1.0
1.0,37.0,1.0,1.0,52.5542,1.0,0.0,0.0,1.0,0.0
0.0,54.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0
0.0,29.699118,0.0,0.0,7.25,1.0,0.0,0.0,0.0,0.0
0.0,29.0,1.0,1.0,10.4625,0.0,0.0,0.0,0.0,0.0
0.0,62.0,0.0,0.0,26.55,1.0,0.0,0.0,1.0,0.0
0.0,30.0,1.0,0.0,16.1,1.0,0.0,0.0,0.0,0.0
0.0,41.0,0.0,2.0,20.2125,0.0,0.0,0.0,0.0,0.0
1.0,29.0,0.0,2.0,15.2458,0.0,1.0,0.0,0.0,0.0
1.0,29.699118,0.0,0.0,79.2,0.0,1.0,0.0,1.0,0.0
1.0,30.0,0.0,0.0,86.5,0.0,0.0,0.0,1.0,0.0
1.0,35.0,0.0,0.0,512.3292,0.0,1.0,0.0,1.0,0.0
1.0,50.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,1.0
0.0,29.699118,0.0,0.0,7.75,1.0,0.0,1.0,0.0,0.0
1.0,3.0,4.0,2.0,31.3875,1.0,0.0,0.0,0.0,0.0
0.0,52.0,1.0,1.0,79.65,1.0,0.0,0.0,1.0,0.0
0.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,29.699118,0.0,0.0,7.75,0.0,0.0,1.0,0.0,0.0
0.0,36.0,0.0,0.0,10.5,1.0,0.0,0.0,0.0,1.0
0.0,16.0,4.0,1.0,39.6875,1.0,0.0,0.0,0.0,0.0
1.0,25.0,1.0,0.0,7.775,1.0,0.0,0.0,0.0,0.0
1.0,58.0,0.0,1.0,153.4625,0.0,0.0,0.0,1.0,0.0
1.0,35.0,0.0,0.0,135.6333,0.0,0.0,0.0,1.0,0.0
0.0,29.699118,0.0,0.0,31.0,1.0,0.0,0.0,1.0,0.0
1.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,41.0,0.0,1.0,19.5,0.0,0.0,0.0,0.0,1.0
0.0,37.0,0.0,1.0,29.7,1.0,1.0,0.0,1.0,0.0
1.0,29.699118,0.0,0.0,7.75,0.0,0.0,1.0,0.0,0.0
1.0,63.0,1.0,0.0,77.9583,0.0,0.0,0.0,1.0,0.0
0.0,45.0,0.0,0.0,7.75,0.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,7.0,4.0,1.0,29.125,1.0,0.0,1.0,0.0,0.0
1.0,35.0,1.0,1.0,20.25,0.0,0.0,0.0,0.0,0.0
0.0,65.0,0.0,0.0,7.75,1.0,0.0,1.0,0.0,0.0
0.0,28.0,0.0,0.0,7.8542,1.0,0.0,0.0,0.0,0.0
0.0,16.0,0.0,0.0,9.5,1.0,0.0,0.0,0.0,0.0
1.0,19.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,26.0,1.0,0.0,0.0,1.0,0.0
0.0,33.0,0.0,0.0,8.6625,1.0,1.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,9.5,1.0,0.0,0.0,0.0,0.0
0.0,22.0,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
1.0,42.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
1.0,22.0,0.0,0.0,7.75,0.0,0.0,1.0,0.0,0.0
1.0,26.0,0.0,0.0,78.85,0.0,0.0,0.0,1.0,0.0
1.0,19.0,1.0,0.0,91.0792,0.0,1.0,0.0,1.0,0.0
0.0,36.0,0.0,0.0,12.875,1.0,1.0,0.0,0.0,1.0
0.0,24.0,0.0,0.0,8.85,0.0,0.0,0.0,0.0,0.0
0.0,24.0,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
0.0,29.699118,0.0,0.0,27.7208,1.0,1.0,0.0,1.0,0.0
0.0,23.5,0.0,0.0,7.2292,1.0,1.0,0.0,0.0,0.0
0.0,2.0,1.0,2.0,151.55,0.0,0.0,0.0,1.0,0.0
1.0,29.699118,0.0,0.0,30.5,1.0,0.0,0.0,1.0,0.0
1.0,50.0,0.0,1.0,247.5208,0.0,1.0,0.0,1.0,0.0
1.0,29.699118,0.0,0.0,7.75,0.0,0.0,1.0,0.0,0.0
1.0,29.699118,2.0,0.0,23.25,1.0,0.0,1.0,0.0,0.0
0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,29.699118,0.0,0.0,12.35,0.0,0.0,1.0,0.0,1.0
0.0,29.699118,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
1.0,0.92,1.0,2.0,151.55,1.0,0.0,0.0,1.0,0.0
1.0,29.699118,0.0,0.0,110.8833,0.0,1.0,0.0,1.0,0.0
1.0,17.0,1.0,0.0,108.9,0.0,1.0,0.0,1.0,0.0
0.0,30.0,1.0,0.0,24.0,1.0,1.0,0.0,0.0,1.0
1.0,30.0,0.0,0.0,56.9292,0.0,1.0,0.0,1.0,0.0
1.0,24.0,0.0,0.0,83.1583,0.0,1.0,0.0,1.0,0.0
1.0,18.0,2.0,2.0,262.375,0.0,1.0,0.0,1.0,0.0
0.0,26.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,1.0
0.0,28.0,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
0.0,43.0,1.0,1.0,26.25,1.0,0.0,0.0,0.0,1.0
1.0,26.0,0.0,0.0,7.8542,0.0,0.0,0.0,0.0,0.0
1.0,24.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0
0.0,54.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0
1.0,31.0,0.0,2.0,164.8667,0.0,0.0,0.0,1.0,0.0
1.0,40.0,1.0,1.0,134.5,0.0,1.0,0.0,1.0,0.0
0.0,22.0,0.0,0.0,7.25,1.0,0.0,0.0,0.0,0.0
0.0,27.0,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
1.0,30.0,0.0,0.0,12.35,0.0,0.0,1.0,0.0,1.0
1.0,22.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,1.0
0.0,29.699118,8.0,2.0,69.55,1.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,135.6333,0.0,1.0,0.0,1.0,0.0
0.0,61.0,0.0,0.0,6.2375,1.0,0.0,0.0,0.0,0.0
1.0,36.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
1.0,31.0,1.0,1.0,20.525,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,1.0,57.9792,0.0,1.0,0.0,1.0,0.0
1.0,29.699118,2.0,0.0,23.25,0.0,0.0,1.0,0.0,0.0
0.0,45.5,0.0,0.0,28.5,1.0,0.0,0.0,1.0,0.0
0.0,38.0,0.0,1.0,153.4625,1.0,0.0,0.0,1.0,0.0
0.0,16.0,2.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0
1.0,29.699118,1.0,0.0,133.65,0.0,0.0,0.0,1.0,0.0
0.0,29.699118,0.0,0.0,7.8958,1.0,0.0,0.0,0.0,0.0
0.0,29.0,1.0,0.0,66.6,1.0,0.0,0.0,1.0,0.0
1.0,41.0,0.0,0.0,134.5,0.0,1.0,0.0,1.0,0.0
1.0,45.0,0.0,0.0,8.05,1.0,0.0,0.0,0.0,0.0
0.0,45.0,0.0,0.0,35.5,1.0,0.0,0.0,1.0,0.0
1.0,2.0,1.0,1.0,26.0,1.0,0.0,0.0,0.0,1.0
1.0,24.0,3.0,2.0,263.0,0.0,0.0,0.0,1.0,0.0
